,id,task_num,task_text,dept,task_responsibles_people,task_deadline,position,name,global_deadline,Tasks
537,128,Task6,Оплаить приобретение программного обеспечения. Приступить к исполнению поручения до 15.06.2021.,Бухгалтерия,Контроль над выполнением приказа возложить на специалиста второй категории бухгалтерии Смирнову О.А.,2021-06-14,специалист второй категория бухгалтерия,смирнов о.а.,2012-01-25,
538,128,Task7,Произвести расчет и выплату премии. Завершить выполнение к 15 июня 18.,Бухгалтерия,Ответственным за контролем над исполнением вышеизложенных задач назначить главного бухгалтера Семенову М.С.,2018-06-14,главное бухгалтер,семёнов м.с.,2012-01-25,
539,129,Task1,Провести анализ неисправности работы API и обеспечить устранение ошибки. Срок завершения: 06.04.2019.,Отдел разработки систем,За контроль и выполнение назначить ответственным руководителя отдела разработки систем Департамента разработки Петрова В.М.,2019-04-05,руководитель отдел разработка система,петров в.м.,2019-05-10,
540,129,Task2,Уточнить требования к аппаратному обеспечению для нормального функционирования системы. Дата окончания: 10 авг 2012 г..,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста второй категории отдела разработки систем Попова А.А.,2012-08-09,специалист второй категория отдел разработка система,попов а.а.,2019-05-10,
541,129,Task3,Провести анализ накопленного технического долга и определить приоритеты исправления замечаний. Дата окончания: 27.10.2015.,Отдел разработки систем,Ответственным за исполнение настоящего приказа назначить специалиста второй категории отдела разработки пользовательских интерфейсов Попова А.А.,2015-10-26,второй категория отдел разработка пользовательский интерфейс,попов а.а.,2019-05-10,
542,129,Task4,Оказать поддержку внедрения системы на объекте заказчика. Приступить к исполнению поручения до 23 марта 2012 года.,Отдел разработки систем,Контроль над выполнением настоящего приказа возложить на специалиста третьей категории отдела разработки систем Андреева С.Е.,2012-03-22,специалист третий категория отдел разработка система,андреев с.е.,2019-05-10,
543,129,Task5,Выполнить настройку канала для подключения к сети Интернет. Определить срок исполнения задачи вплоть до 01 марта 22.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным специалиста второй категории отдела разработки пользовательских интерфейсов Попова А.А.,2022-02-28,специалист второй категория,попов а.а.,2019-05-10,
544,129,Task6,Разработать коннектор для интеграции со сторонним программным обеспечением. Сроком окончания работ определить 15.11.15.,Отдел разработки систем,Контроль над выполнением настоящего приказа возложить на технического писателя Абалкина Зураба,2015-11-14,технический писатель,абалкин з.,2019-05-10,
545,130,Task1,Заменить лампы дневного освещения. Срок выполнения поручения: 19 ноя 20.,Административно-хозяйственный отдел,Контроль над исполнением распоряжения оставить за специалистом первой категории административно-хозяйственного отдела Сергеевой Аленой Ивановной,2020-11-18,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2016-10-08,
546,130,Task2,Продлить договор с клининговой компанией. Срок завершения: 04 ноя 2018 г..,Административно-хозяйственный отдел,За контроль и выполнение назначить ответственным специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2018-11-03,первый категория административно-хозяйственный отдел,сергеева а.и.,2016-10-08,
547,130,Task3,Подготовить информационные материалы о компании. Дата окончания: 03 апр 12.,Административно-хозяйственный отдел,Обеспечение выполнения возложить на руководителя Административно-хозяйственного отдела С.С.Галкина,2012-04-02,руководитель административно-хозяйственный отдел,галкин c.c.,2016-10-08,
548,130,Task4,Выполнить ремонт замка дверей входной секции. Привести вышеизложенное поручение в исполнение к 11 окт 17.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить руководителя Административно-хозяйственного отдела С.С.Галкина,2017-10-10,руководитель административно-хозяйственный отдел,галкин c.c.,2016-10-08,
549,130,Task5,Организовать хранение на офисном складе оборудования. Приступить к исполнению поручения до 19.12.22.,Административно-хозяйственный отдел,Контроль над исполнением распоряжения оставить за специалистом первой категории административно-хозяйственного отдела Кравцовой И.Е.,2022-12-18,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2016-10-08,
550,130,Task6,Закупить подарки для партнеров. Приступить к исполнению поручения до 27 дек 2020 г..,Административно-хозяйственный отдел,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста первой категории административно-хозяйственного отдела Кравцову И.Е.,2020-12-26,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2016-10-08,
551,131,Task1,Актуализировать проектную документацию системы. Дата окончания: 13 июня 14.,Отдел проектирования,Контроль над выполнением приказа возложить на специалиста второй категории отдела проектирования Попова И.И.,2014-06-12,специалист второй категория отдел проектирование,попов и.и.,2018-09-12,
552,131,Task2,Добавить модуль расширения системы в проект. Сроком окончания работ определить 19 декабря 19.,Отдел проектирования,Обеспечение выполнения возложить на специалиста второй категории отдела проектирования Попова И.И.,2019-12-18,специалист второй категория отдел проектирование,попов и.и.,2018-09-12,
553,132,Task1,Провести запуск в эксплуатацию информационной системы для планирования задач. Приступить к исполнению поручения до 05 января 18.,Служба ИТ,Обеспечение выполнения возложить на администратора баз данных Абакулова Петра,2018-01-04,администратор база данные,абакулов п.,2021-06-13,
554,132,Task2,Настроить оборудование для удаленной работы сотрудников на удаленке. Привести вышеизложенное поручение в исполнение к 17 мар 2012 г..,Служба ИТ,Ответственность за исполнение распоряжения возложить на специалиста первой категории Службы ИТ Александрова Александра Ивановича,2012-03-16,специалист первый категория служба ит,александров а.и.,2021-06-13,
555,132,Task3,Создать и настроить виртуальную машину в соответствии с техническим заданием. Срок завершения: 01 фев 21.,Служба ИТ,За контроль и выполнение назначить ответственным мастера по ремонту компьютеров Абалакина Михаила,2021-01-31,мастер по ремонт компьютер,абалакин м.,2021-06-13,
556,132,Task4,Установить дополнительное аппаратное обеспечение для повышения производительности серверного оборудования. Сроком окончания работ определить 14.09.2012.,Служба ИТ,Ответственность за исполнение распоряжения возложить на администратора вычислительной сети Абалдуева Олега,2012-09-13,администратор вычислительный сеть,абалдуев о.,2021-06-13,
557,132,Task5,Передать на гарантийный ремон неисправные ноутбуки и проконтролировать выполнение работ. Срок выполнения поручения: 05 августа 2020 года.,Служба ИТ,Обеспечение выполнения возложить на мастера по ремонту компьютеров Абалакина Михаила,2020-08-04,мастер по ремонт компьютер,абалакин м.,2021-06-13,
558,132,Task6,Провести запуск в эксплуатацию информационной системы для планирования задач. Срок выполнения поручения: 02.04.2022.,Служба ИТ,За контроль и выполнение назначить ответственным мастера по ремонту компьютеров Абалакина Михаила,2022-04-01,мастер по ремонт компьютер,абалакин м.,2021-06-13,
559,132,Task7,Заменить аккумуляторные батареи в серверной. Привести вышеизложенное поручение в исполнение к 19 июня 20.,Служба ИТ,Обеспечение выполнения возложить на руководителя Службы ИТ: Р.Е.Артюхина,2020-06-18,руководитель служба ит:,артюхин р.е.,2021-06-13,
560,133,Task1,Уточнить требования к аппаратному обеспечению для нормального функционирования системы. Дата окончания: 13 мая 15.,Отдел разработки систем,Контроль над выполнением настоящего приказа возложить на специалиста третьей категории отдела разработки систем Андреева С.Е.,2015-05-12,специалист третий категория отдел разработка система,андреев с.е.,2017-11-02,
561,133,Task2,Написать документацию для разработанной функции. Срок завершения: 17 янв 16.,Отдел разработки систем,Контроль над исполнением распоряжения оставить за администратором баз данных Абашичевым Алексеем,2016-01-16,администратор база данные,абашичев а.,2017-11-02,
562,133,Task3,Добавить дополнительных механизм авторизации пользователей в системе. Дата окончания: 13.03.14.,Отдел разработки систем,Контроль над выполнением настоящего приказа возложить на тимлид проектной команды Абаимова Симона,2014-03-12,тимлида проектный команда,абаимов с.,2017-11-02,
563,133,Task4,Выполнить настройку канала для подключения к сети Интернет. Срок выполнения поручения: 22 ноября 20.,Отдел разработки систем,Ответственность за исполнение распоряжения возложить на программиста Абашкина Ореста,2020-11-21,программист,абашкин о.,2017-11-02,
564,133,Task5,Расширить функциональность API с учетом обновленного технического задания. Установить срок выполнения задачи до 12.01.19.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным специалиста третьей категории отдела разработки пользовательских интерфейсов Андреева С.Е.,2019-01-11,специалист третий категория,андреев с.е.,2017-11-02,
565,133,Task6,Уточнить требования к аппаратному обеспечению для нормального функционирования системы. Определить срок исполнения задачи вплоть до 12 окт 22.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить технического писателя Абалкина Зураба,2022-10-11,технический писатель,абалкин з.,2017-11-02,
566,133,Task7,Уточнить требования к аппаратному обеспечению для нормального функционирования системы. Завершить выполнение к 27.08.14.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным специалиста третьей категории отдела разработки систем Андреева С.Е.,2014-08-26,специалист третий категория,андреев с.е.,2017-11-02,
567,133,Task8,Обеспечить совместимость системы с партнерским программным обеспечением. Завершить выполнение к 16 марта 2016 года.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить администратора баз данных Абашичева Алексея,2016-03-15,администратор база данные,абашичев а.,2017-11-02,
568,133,Task9,Провести анализ накопленного технического долга и определить приоритеты исправления замечаний. Выполнить данное поручение до 17 июня 17.,Отдел разработки систем,За контроль над исполнением распоряжения назначить ответственным администратора баз данных Абашичева Алексея,2017-06-16,администратор база данные,абашичев а.,2017-11-02,
569,134,Task1,Организовать доставку продуктов питания в офис по пятницам. Дата окончания: 16.10.19.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2019-10-15,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2015-01-20,
570,134,Task2,Обеспечить доступ представителей компаний-партнеров в производственные помещения в рамках проекта. Установить срок выполнения задачи до 03 окт 17.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2017-10-02,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2015-01-20,
571,134,Task3,Подготовить информационные материалы о компании. Срок завершения: 27 июля 2014 года.,Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на руководителя Административно-хозяйственного отдела С.С.Галкина,2014-07-26,руководитель административно-хозяйственный отдел,галкин c.c.,2015-01-20,
572,134,Task4,Организовать доставку продуктов питания в офис по пятницам. Срок завершения: 03.05.21.,Административно-хозяйственный отдел,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста второй категории административно-хозяйственного отдела Поспелову Н.А.,2021-05-02,специалист второй категория административно-хозяйственный отдел,поспелов н.а.,2015-01-20,
573,134,Task5,Организовать централизованную доставку сотрудников в офис. Срок выполнения поручения: 27 авг 19.,Административно-хозяйственный отдел,Контроль над выполнением настоящего приказа возложить на специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2019-08-26,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2015-01-20,
574,135,Task1,Провести аудит состояния аппаратного и программного обеспечения рабочих компьютеров. Привести вышеизложенное поручение в исполнение к 05 авг 18.,Служба ИТ,За контроль над исполнением распоряжения назначить ответственным специалиста первой категории Службы ИТ Александрова Александра Ивановича,2018-08-04,специалист первый категория служба ит,александров а.и.,2019-03-09,
575,135,Task2,Произвести замену вышедшего из строя ноутбука. Срок завершения: 07 января 17.,Служба ИТ,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста третьей категории Службы ИТ Кима Юрия Ивановича,2017-01-06,специалист третий категория служба ит,ким ю.и.,2019-03-09,
576,135,Task4,Создать и настроить виртуальную машину в соответствии с техническим заданием. Завершить выполнение к 21.08.19.,Служба ИТ,За контроль над исполнением распоряжения назначить ответственным специалиста третьей категории Службы ИТ Кима Юрия Ивановича,2019-08-20,специалист третий категория служба ит,ким ю.и.,2019-03-09,
577,135,Task5,Организовать VPN соединение для взаимодействия с подрядчиком. Привести вышеизложенное поручение в исполнение к 18.03.16.,Служба ИТ,Контроль над выполнением настоящего приказа возложить на специалиста первой категории Службы ИТ Александрова Александра Ивановича,2016-03-17,специалист первый категория служба ит,александров а.и.,2019-03-09,
578,135,Task6,Выполнить перенос оборудования в дополнительное помещение серверной комнаты. Срок выполнения поручения: 03 мар 21.,Служба ИТ,Обеспечение выполнения возложить на администратора вычислительной сети Абалдуева Олега,2021-03-02,администратор вычислительный сеть,абалдуев о.,2019-03-09,
579,135,Task8,Выполнить ремонт вышедшего из строя рабочего компьтера. Установить срок выполнения задачи до 28 ноября 2021 года.,Служба ИТ,Контроль над исполнением распоряжения оставить за специалистом третьей категории Службы ИТ Кимом Юрием Ивановичем,2021-11-27,специалист третий категория,ким ю.и.,2019-03-09,
580,136,Task1,Выполнить покраску стены. Завершить выполнение к 19 августа 21.,Административно-хозяйственный отдел,Контроль над исполнением распоряжения оставить за специалистом второй категории административно-хозяйственного отдела Поспеловой Н.А.,2021-08-18,специалист второй категория административно-хозяйственный отдел,поспелов н.а.,2012-10-15,
581,136,Task2,Организовать дополнительный клиниг помещений. Определить срок исполнения задачи вплоть до 22.02.22.,Административно-хозяйственный отдел,Контроль над исполнением распоряжения оставить за руководителем Административно-хозяйственного отдела С.С.Галкиным,2022-02-21,руководитель административно-хозяйственный отдел,галкин c.c.,2012-10-15,
582,136,Task3,Установить дополнительный шкаф в гардеробе. Определить срок исполнения задачи вплоть до 28.06.14.,Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2014-06-27,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2012-10-15,
583,136,Task4,Устранить засор на кухне. Срок выполнения поручения: 07.03.2021.,Административно-хозяйственный отдел,Контроль над выполнением приказа возложить на руководителя Административно-хозяйственного отдела С.С.Галкина,2021-03-06,руководитель административно-хозяйственный отдел,галкин c.c.,2012-10-15,
584,136,Task5,Организовать дополнительный клиниг помещений. Выполнить данное поручение до 12.05.12.,Административно-хозяйственный отдел,Ответственным за контролем над исполнением вышеизложенных задач назначить руководителя Административно-хозяйственного отдела С.С.Галкина,2012-05-11,руководитель административно-хозяйственный отдел,галкин c.c.,2012-10-15,
585,136,Task6,Организовать централизованную доставку сотрудников в офис. Сроком окончания работ определить 22.12.18.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2018-12-21,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2012-10-15,
586,137,Task1,Провести анализ появления ошибки в работе системы. Сроком окончания работ определить 08.11.2018.,Отдел тестирования,Контроль над выполнением приказа возложить на специалиста второй категории отдела тестирования Анненкова И.С.,2018-11-07,специалист второй категория отдел тестирование,анненков и.с.,2016-10-01,
587,137,Task2,Подготовить пользовательскую документацию для пользователей тестового стенда. Завершить выполнение к 16 августа 14.,Отдел тестирования,Ответственным за исполнение настоящего приказа назначить специалиста третьей категории отдела тестирования Спецова А.В,2014-08-15,специалист третий категория отдел тестирование,спецов а.в,2016-10-01,
588,137,Task3,Внедрить в эксплуатацию обновленную систему мониторинга. Сроком окончания работ определить 09.07.2012.,Отдел тестирования,За контроль над исполнением распоряжения назначить ответственным руководителя отдела тестирования Департамента разработки Львова А.М.,2012-07-08,руководитель отдел тестирование,львов а.м.,2016-10-01,
589,137,Task4,Назначить ответственного за эксплуатацию тестового стенда. Определить срок исполнения задачи вплоть до 28.04.2021.,Отдел тестирования,Контроль над исполнением распоряжения оставить за руководителем отдела тестирования Департамента разработки Львовым А.М.,2021-04-27,руководитель отдел тестирование,львов а.м.,2016-10-01,
590,137,Task5,Подготовить скрипты автоматизации для проведения функционального тестирования. Установить срок выполнения задачи до 08 июня 12.,Отдел тестирования,Ответственным за контролем над исполнением вышеизложенных задач назначить специалиста третьей категории отдела тестирования Спецова А.В,2012-06-07,специалист третий категория отдел тестирование,спецов а.в,2016-10-01,
591,137,Task6,Подготовить скрипты автоматизации для проведения функционального тестирования. Срок выполнения поручения: 14 сен 2017 г..,Отдел тестирования,Контроль над выполнением настоящего приказа возложить на руководителя отдела тестирования Департамента разработки Львова А.М.,2017-09-13,руководитель отдел тестирование,львов а.м.,2016-10-01,
592,137,Task7,Назначить ответственного за эксплуатацию тестового стенда. Привести вышеизложенное поручение в исполнение к 07.05.21.,Отдел тестирования,Обеспечение выполнения возложить на специалиста второй категории отдела тестирования Анненкова И.С.,2021-05-06,специалист второй категория отдел тестирование,анненков и.с.,2016-10-01,
593,138,Task1,Организовать хранение на офисном складе оборудования. Срок выполнения поручения: 26 апреля 18.,Административно-хозяйственный отдел,Ответственным за исполнение настоящего приказа назначить специалиста первой категории административно-хозяйственного отдела Кравцову И.Е.,2018-04-25,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2018-10-17,
594,138,Task2,Провести ремонт входной двери. Сроком окончания работ определить 11 мар 12.,Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на специалиста первой категории административно-хозяйственного отдела Сергееву Алену Ивановну,2012-03-10,специалист первый категория административно-хозяйственный отдел,сергеева а.и.,2018-10-17,
595,138,Task3,Напечатать визитки для сотрудников. Срок завершения: 26 октября 18.,Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на специалиста первой категории административно-хозяйственного отдела Кравцову И.Е.,2018-10-25,специалист первый категория административно-хозяйственный отдел,кравцов и.е.,2018-10-17,
596,138,Task4,"Уточнить список сотрудников, имеющих право на бесплатное парковочное место у офиса. Срок выполнения поручения: 08 ноября 15.",Административно-хозяйственный отдел,Ответственность за исполнение распоряжения возложить на руководителя Административно-хозяйственного отдела С.С.Галкина,2015-11-07,руководитель административно-хозяйственный отдел,галкин c.c.,2018-10-17,
597,139,Task1,Произвести замену вышедшего из строя ноутбука. Срок выполнения поручения: 24 мая 18.,Служба ИТ,Контроль над выполнением приказа возложить на специалиста второй категории Службы ИТ Никитину Ирину Петровну,2018-05-23,специалист второй категория служба ит,никитина и.п.,2012-03-11,
598,139,Task2,Настроить систему виртуализации для создания тестовых макетов отдела разработки. Срок выполнения поручения: 19 июня 2012 года.,Служба ИТ,Ответственным за контролем над исполнением вышеизложенных задач назначить администратора баз данных Абакулова Петра,2012-06-18,администратор база данные,абакулов п.,2012-03-11,
599,139,Task3,Провести централизованную смену паролей для доступа в систему. Приступить к исполнению поручения до 24 ноя 13.,Служба ИТ,За контроль над исполнением распоряжения назначить ответственным администратора баз данных Абакулова Петра,2013-11-23,администратор база данные,абакулов п.,2012-03-11,
600,139,Task4,Установить программное обеспечение MS Word на пользовательский компьютер. Сроком окончания работ определить 09 ноя 16.,Служба ИТ,Ответственным за исполнение настоящего приказа назначить специалиста третьей категории Службы ИТ Кима Юрия Ивановича,2016-11-08,специалист третий категория служба ит,ким ю.и.,2012-03-11,
601,139,Task5,Заменить аккумуляторные батареи в серверной. Привести вышеизложенное поручение в исполнение к 24.11.12.,Служба ИТ,Контроль над выполнением приказа возложить на руководителя Службы ИТ: Р.Е.Артюхина,2012-11-23,руководитель служба ит:,артюхин р.е.,2012-03-11,
602,139,Task6,Провести анализ поставщиков для замены вышедшего из строя оборудования. Приступить к исполнению поручения до 12.09.12.,Служба ИТ,Ответственным за исполнение настоящего приказа назначить системного администратора Абалакова Севастьяна,2012-09-11,системный администратор,абалаков с.,2012-03-11,
603,139,Task7,Произвести замену вышедшего из строя ноутбука. Сроком окончания работ определить 19.07.16.,Служба ИТ,Ответственным за контролем над исполнением вышеизложенных задач назначить администратора вычислительной сети Абалдуева Олега,2016-07-18,администратор вычислительный сеть,абалдуев о.,2012-03-11,
604,139,Task8,Установить программное обеспечение MS Word на пользовательский компьютер. Сроком окончания работ определить 18 янв 2021 г..,Служба ИТ,За контроль и выполнение назначить ответственным специалиста первой категории Службы ИТ Александрова Александра Ивановича,2021-01-17,специалист первый категория служба ит,александров а.и.,2012-03-11,
605,139,Task9,Установить антивирусное программное обеспечение. Завершить выполнение к 14 марта 2019 года.,Служба ИТ,Контроль над исполнением распоряжения оставить за системным администратором Сергеевым Андреем,2019-03-13,системный администратор,сергеев а.,2012-03-11,
606,140,Task1,Подготовить юнит тесты для разработанных функций системы. Срок завершения: 28 мар 22.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить руководителя отдела разработки систем Департамента разработки Петрова В.М.,2022-03-27,руководитель отдел разработка система,петров в.м.,2018-01-10,
607,140,Task2,Разработать функцию чтения информации из базы данных. Привести вышеизложенное поручение в исполнение к 07 мая 2019 года.,Отдел разработки систем,Обеспечение выполнения возложить на специалиста третьей категории отдела разработки систем Андреева С.Е.,2019-05-06,специалист третий категория отдел разработка система,андреев с.е.,2018-01-10,
608,140,Task3,Провести анализ неисправности работы API и обеспечить устранение ошибки. Определить срок исполнения задачи вплоть до 02.02.2018.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить руководителя отдела разработки систем Департамента разработки Петрова В.М.,2018-02-01,руководитель отдел разработка система,петров в.м.,2018-01-10,
609,140,Task4,Разработать коннектор для интеграции со сторонним программным обеспечением. Привести вышеизложенное поручение в исполнение к 12.10.20.,Отдел разработки систем,Ответственность за исполнение распоряжения возложить на тимлид проектной команды Абаимова Симона,2020-10-11,тимлида проектный команда,абаимов с.,2018-01-10,
610,140,Task6,Разработать функцию системы в соответствии с техническим заданием. Срок завершения: 18.07.2015.,Отдел разработки систем,Ответственным за контролем над исполнением вышеизложенных задач назначить тимлид проектной команды Абаимова Симона,2015-07-17,тимлида проектный команда,абаимов с.,2018-01-10,
611,141,Task2,Разработать коннектор для интеграции со сторонним программным обеспечением. Срок завершения: 15 фев 17.,Отдел разработки систем,Контроль над выполнением приказа возложить на специалиста второй категории отдела разработки систем Попова А.А.,2017-02-14,специалист второй категория отдел разработка система,попов а.а.,2021-10-15,
612,141,Task3,Провести слияние веток проекта в системе управления версиями программного обеспечения github. Срок завершения: 28 ноя 14.,Отдел разработки систем,Контроль над исполнением распоряжения оставить за специалистом третьей категории отдела разработки систем Андреевым С.Е.,2014-11-27,специалист третий категория отдел разработка система,андреев с.е.,2021-10-15,
